"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 31 17:18:43 ICT 2023","Fri Mar 31 17:18:57 ICT 2023","13591","","sample_appUITests.SlowTests","","sample_appUITests.SlowTests","testTextSlow1","testTextSlow1",""
"failed","Fri Mar 31 17:18:24 ICT 2023","Fri Mar 31 17:18:36 ICT 2023","12296","","sample_appUITests.SlowTests","","sample_appUITests.SlowTests","testTextSlow3","testTextSlow3",""
"passed","Fri Mar 31 17:16:08 ICT 2023","Fri Mar 31 17:16:15 ICT 2023","6320","","sample_appUITests.StoryboardTests","","sample_appUITests.StoryboardTests","testDisabledButton","testDisabledButton",""
"failed","Fri Mar 31 17:18:25 ICT 2023","Fri Mar 31 17:18:37 ICT 2023","12505","","sample_appUITests.SlowTests","","sample_appUITests.SlowTests","testTextSlow4","testTextSlow4",""
"passed","Fri Mar 31 17:17:53 ICT 2023","Fri Mar 31 17:17:57 ICT 2023","4049","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky3","testTextFlaky3",""
"passed","Fri Mar 31 17:19:16 ICT 2023","Fri Mar 31 17:19:19 ICT 2023","3198","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky7","testTextFlaky7",""
"passed","Fri Mar 31 17:16:21 ICT 2023","Fri Mar 31 17:16:27 ICT 2023","5765","","sample_appUITests.ScreenshotTests","","sample_appUITests.ScreenshotTests","testButton","testButton",""
"passed","Fri Mar 31 17:19:12 ICT 2023","Fri Mar 31 17:19:15 ICT 2023","3293","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky8","testTextFlaky8",""
"failed","Fri Mar 31 17:18:11 ICT 2023","Fri Mar 31 17:18:15 ICT 2023","4221","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky1","testTextFlaky1",""
"passed","Fri Mar 31 17:18:00 ICT 2023","Fri Mar 31 17:18:06 ICT 2023","5803","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky2","testTextFlaky2",""
"passed","Fri Mar 31 17:15:58 ICT 2023","Fri Mar 31 17:16:04 ICT 2023","5586","","sample_appUITests.StoryboardTests","","sample_appUITests.StoryboardTests","testButton","testButton",""
"passed","Fri Mar 31 17:15:43 ICT 2023","Fri Mar 31 17:15:48 ICT 2023","4107","","sample_appUITests.MoreTests","","sample_appUITests.MoreTests","testPresentModal","testPresentModal",""
"failed","Fri Mar 31 17:19:03 ICT 2023","Fri Mar 31 17:19:09 ICT 2023","5667","","sample_appUITests.FailingTests","","sample_appUITests.FailingTests","testAlwaysFailing","testAlwaysFailing",""
"passed","Fri Mar 31 17:19:20 ICT 2023","Fri Mar 31 17:19:23 ICT 2023","3288","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky6","testTextFlaky6",""
"passed","Fri Mar 31 17:18:18 ICT 2023","Fri Mar 31 17:18:22 ICT 2023","3517","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky","testTextFlaky",""
"failed","Fri Mar 31 17:18:43 ICT 2023","Fri Mar 31 17:18:56 ICT 2023","12831","","sample_appUITests.SlowTests","","sample_appUITests.SlowTests","testTextSlow","testTextSlow",""
"failed","Fri Mar 31 17:19:03 ICT 2023","Fri Mar 31 17:20:02 ICT 2023","59161","","sample_appUITests.CrashingTests","","sample_appUITests.CrashingTests","testButton","testButton",""
"failed","Fri Mar 31 17:18:59 ICT 2023","Fri Mar 31 17:19:05 ICT 2023","6573","","sample_appUITests.StoryboardTests","","sample_appUITests.StoryboardTests","testLabel","testLabel",""
"failed","Fri Mar 31 17:18:49 ICT 2023","Fri Mar 31 17:18:54 ICT 2023","4823","","sample_appUITests.MoreTests","","sample_appUITests.MoreTests","testDismissModal","testDismissModal",""
"passed","Fri Mar 31 17:17:47 ICT 2023","Fri Mar 31 17:17:50 ICT 2023","3185","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky4","testTextFlaky4",""
"passed","Fri Mar 31 17:19:24 ICT 2023","Fri Mar 31 17:19:27 ICT 2023","3095","","sample_appUITests.FlakyTests","","sample_appUITests.FlakyTests","testTextFlaky5","testTextFlaky5",""
"failed","Fri Mar 31 17:18:31 ICT 2023","Fri Mar 31 17:18:42 ICT 2023","11183","","sample_appUITests.SlowTests","","sample_appUITests.SlowTests","testTextSlow2","testTextSlow2",""
